time,body,x,y,z,vx,vy,vz,energy_error,angular_momentum_error
516000,Body2,-1214764.512499116,6121154.213709314,0,-16.72894672460748,0.1404670258809189,0,2.521539678329792e-10,5.22540179537109e-15
516000,Body3,-1998428.211874304,-5646124.433683492,0,46.32783287550784,-47.06264254335913,0,2.521539678329792e-10,5.22540179537109e-15
517000,Body1,1121756.880753092,-5984340.891428081,0,16.00045868053238,0.3739722658770595,0,2.547893551592838e-10,5.443126870178218e-15
517000,Body2,-1231489.322334666,6121272.881046453,0,-16.72065504826422,0.09687878669672409,0,2.547893551592838e-10,5.443126870178218e-15
517000,Body3,-1951755.841834746,-5693198.961852429,0,47.01963677317548,-47.08510525741723,0,2.547893551592838e-10,5.443126870178218e-15
518000,Body1,1137749.620841778,-5983945.074352955,0,15.9849755224519,0.4176365656069034,0,2.573631356373684e-10,4.572226570949704e-15
518000,Body2,-1248205.786879444,6121347.993573403,0,-16.71225621257742,0.05335742621753874,0,2.573631356373684e-10,4.572226570949704e-15
518000,Body3,-1904383.396225648,-5740291.922060169,0,47.72806901254489,-47.09939918248305,0,2.573631356373684e-10,4.572226570949704e-15
519000,Body1,1153726.739081993,-5983505.670077704,0,15.96921418508402,0.461145490595534,0,2.598567820243696e-10,4.354501496142575e-15
519000,Body2,-1264913.799182478,6121379.618230596,0,-16.70375063415731,0.009903067497589025,0,2.598567820243696e-10,4.354501496142575e-15
519000,Body3,-1856293.989943775,-5787394.815304903,0,48.45364490732048,-47.10485580935113,0,2.598567820243696e-10,4.354501496142575e-15
520000,Body1,1169687.954882629,-5983022.837588289,0,15.95316982836919,0.5044917317783408,0,2.622446875618585e-10,5.007676720563961e-15
520000,Body2,-1281613.252708999,6121367.822080337,0,-16.69513872879482,-0.03348416877695475,0,2.622446875618585e-10,5.007676720563961e-15
520000,Body3,-1807470.21735549,-5834498.449220399,0,49.19689004255388,-47.10075630017745,0,2.622446875618585e-10,5.007676720563961e-15
521000,Body1,1185632.982765222,-5982496.743446092,0,15.93683751969358,0.5476674407424282,0,2.644949191157946e-10,5.007676720563961e-15
521000,Body2,-1298304.041339621,6121312.672304421,0,-16.68642091147052,-0.07680416426444837,0,2.644949191157946e-10,5.007676720563961e-15
521000,Body3,-1757894.142552634,-5881592.885849203,0,49.9583391776845,-47.08632764783673,0,2.644949191157946e-10,5.007676720563961e-15
522000,Body1,1201561.532278009,-5981927.562347611,0,15.92021224762358,0.5906641885746828,0,2.665686146645621e-10,3.265876122106931e-15
522000,Body2,-1314986.059369538,6121214.236201853,0,-16.67759759636465,-0.1200568029430644,0,2.665686146645621e-10,3.265876122106931e-15
522000,Body3,-1707547.290839633,-5928667.385440191,0,50.73853487409798,-47.06073856320051,0,2.665686146645621e-10,3.265876122106931e-15
523000,Body1,1217473.307925297,-5981315.477726733,0,15.90328893884249,0.6334729218752972,0,2.684347448420648e-10,3.919051346528317e-15
523000,Body2,-1331659.201507731,6121072.581186491,0,-16.66866919686871,-0.163241971084765,0,2.684347448420648e-10,3.919051346528317e-15
523000,Body3,-1656410.64174911,-5975710.345992565,0,51.53802580261351,-47.02309507909189,0,2.684347448420648e-10,3.919051346528317e-15
524000,Body1,1233368.009115565,-5980660.68240238,0,15.88606247879753,0.6760839158423594,0,2.70042096131445e-10,4.572226570949704e-15
524000,Body2,-1348323.362876182,6120887.774784788,0,-16.65963612559825,-0.2063595572278,0,2.70042096131445e-10,4.572226570949704e-15
524000,Body3,-1604464.623930948,-6022709.238258145,0,52.35736468006039,-46.9724358614946,0,2.70042096131445e-10,4.572226570949704e-15
525000,Body1,1249245.330132318,-5979963.379274664,0,15.86852773663592,0.718486724358952,0,2.713353880600945e-10,3.701326271721188e-15
525000,Body2,-1364978.439009104,6120659.884633546,0,-16.65049879440722,-0.2494094521475617,0,2.713353880600945e-10,3.701326271721188e-15
525000,Body3,-1551689.112314021,-6069650.535905515,0,53.19710577712073,-46.90772722117768,0,2.713353880600945e-10,3.701326271721188e-15
526000,Body1,1265104.96013228,-5979223.782072405,0,15.85067959508558,0.7606701270495917,0,2.722569301075529e-10,3.919051346528317e-15
526000,Body2,-1381624.325852195,6120388.978477672,0,-16.64125761440415,-0.2923915488256054,0,2.722569301075529e-10,3.919051346528317e-15
526000,Body3,-1498063.428001417,-6116519.640544437,0,54.05780193184788,-46.82785782243729,0,2.722569301075529e-10,3.919051346528317e-15
527000,Body1,1280946.583176262,-5978442.116155117,0,15.83251298602245,0.802622073319986,0,2.727335170703117e-10,3.265876122106931e-15
527000,Body2,-1398260.919761891,6120075.124168016,0,-16.63191299596948,-0.3353057424166238,0,2.727335170703117e-10,3.265876122106931e-15
527000,Body3,-1443566.341429847,-6163300.801307952,0,54.94000099469298,-46.73163309037496,0,2.727335170703117e-10,3.265876122106931e-15
528000,Body1,1296769.878298754,-5977618.619372438,0,15.81402293256026,0.8443296234557328,0,2.726899855809826e-10,3.701326271721188e-15
528000,Body2,-1414888.117504655,6119718.389659196,0,-16.62246534877499,-0.3781519302131537,0,2.726899855809826e-10,3.701326271721188e-15
528000,Body3,-1388176.079402664,-6209977.028693861,0,55.84424162145987,-46.61776932429672,0,2.726899855809826e-10,3.701326271721188e-15
529000,Body1,1312574.519623294,-5976753.542983871,0,15.79520459860073,0.8857788869348615,0,2.720306868654341e-10,4.354501496142575e-15
529000,Body2,-1431505.816256276,6119318.843007477,0,-16.61291508180468,-0.42093001160775,0,2.720306868654341e-10,4.354501496142575e-15
529000,Body3,-1331870.336694621,-6256530.002378746,0,56.77104832037988,-46.48488753274993,0,2.720306868654341e-10,4.354501496142575e-15
530000,Body1,1328360.176531522,-5975847.152641519,0,15.77605334689243,0.92695495820985,0,2.706543989138769e-10,5.660851944985347e-15
530000,Body2,-1448113.913601193,6118876.552368714,0,-16.60326260337761,-0.4636398880523612,0,2.706543989138769e-10,5.660851944985347e-15
530000,Body3,-1274626.293025655,-6302939.97273805,0,57.72092564850386,-46.33150701578747,0,2.706543989138769e-10,5.660851944985347e-15
531000,Body1,1344126.513895029,-5974899.729438093,0,15.75656480676302,0.9678418503410969,0,2.684362511219724e-10,5.22540179537109e-15
531000,Body2,-1464712.307531839,6118391.585996282,0,-16.5935083211726,-0.506281463014591,0,2.684362511219724e-10,5.22540179537109e-15
531000,Body3,-1216420.636311677,-6349185.655837334,0,58.69435144094673,-46.15603873268915,0,2.684362511219724e-10,5.22540179537109e-15
532000,Body1,1359873.19238032,-5973911.571022232,0,15.7367349528109,1.00842242702106,0,2.652454983937424e-10,4.136776421335446e-15
532000,Body2,-1481300.89644802,6117864.012239109,0,-16.58365264225479,-0.5488546419305231,0,2.652454983937424e-10,4.136776421335446e-15
532000,Body3,-1157229.593222739,-6395244.121705723,0,59.69176894438201,-45.95677850909243,0,2.652454983937424e-10,4.136776421335446e-15
533000,Body1,1375599.868838521,-5972882.992782244,0,15.71656019596568,1.048678333721699,0,2.609340734142719e-10,5.22540179537109e-15
